2017-06-12,71212700
2017-06-22,47948100
2017-07-02,82233800
2017-07-12,57241200
2017-07-22,42165000
2017-08-01,71957800
2017-08-11,25819800
2017-08-21,35091200
2017-08-31,22551500
2017-09-10,44088100
2017-09-20,48945900
2017-09-30,39566800
2017-10-10,37776500
2017-10-20,35766700
2017-10-30,63575000
2017-11-09,48869400
2017-11-19,33176100
2017-11-29,43337900
2017-12-09,41102000
2017-12-19,34786600
2017-12-29,27188400
2018-01-08,46364300
2018-01-18,38817100
2018-01-28,33133900
2018-02-07,56511700
2018-02-17,24356200
2018-02-27,39528500
2018-03-09,40386100
2018-03-19,73050300
2018-03-29,102667200
2018-04-08,56997000
2018-04-18,41589100
2018-04-28,52423900
2018-05-08,48889200
2018-05-18,39417200
2018-05-28,54060700
2018-06-07,89380500
2018-06-17,65835800
2018-06-27,80608400
2018-07-07,41362100
2018-07-17,55987500
2018-07-27,64595200
2018-08-06,119298700
2018-08-16,70293000
2018-08-26,49118100
2018-09-05,84268300
2018-09-15,48972900
2018-09-25,105814000
2018-10-05,71662200
2018-10-15,83865000
2018-10-25,95311300
2018-11-04,46548000
2018-11-14,43475200
2018-11-24,35494300
2018-12-04,53130800
2018-12-14,46474500
2018-12-24,50198000
2019-01-03,45447400
2019-01-13,55889800
2019-01-23,69939700
2019-02-02,38627900
2019-02-12,39984600
2019-02-22,65565600
2019-03-04,86200200
2019-03-14,65571400
2019-03-24,52699800
2019-04-03,84646500
2019-04-13,40461400
2019-04-23,120924300
2019-05-03,64568200
2019-05-13,107868500
2019-05-23,81298400
2019-06-02,98866900
2019-06-12,82461200
2019-06-22,41869200
2019-07-02,59249500
2019-07-12,49927200
2019-07-22,81944800
2019-08-01,40937500
2019-08-11,41767500
2019-08-21,51085600
2019-08-31,27502500
2019-09-10,46380300
2019-09-20,56012700
2019-09-30,64390100
2019-10-10,48599700
2019-10-20,106163800
2019-10-30,65300500
2019-11-09,41440500
2019-11-19,63273000
2019-11-29,31983800
2019-12-09,79876000
2019-12-19,74813700
2019-12-29,22872100
