Date,open,high,low,close
2010-06-29,23.88999939,23.88999939,15.80000019,17.45999908
2010-07-09,17.39999962,20.63999939,17.04999924,20.63999939
2010-07-19,21.90999985,21.90999985,20.21999931,20.71999931
2010-07-29,20.35000038,21.95000076,19.59000015,19.59000015
2010-08-08,19.60000038,19.60000038,17.60000038,19.14999962
2010-08-18,18.77000046,20.12999916,18.77000046,19.70000076
2010-08-28,19.87000084,21.05999947,19.47999954,21.04999924
2010-09-07,20.54000092,21.97999954,20.17000008,20.94000053
2010-09-17,20.22999954,21.05999947,19.55999947,20.10000038
2010-09-27,20.53000069,21.97999954,20.40999985,20.45999908
2010-10-07,20.43000031,20.75,20.23999977,20.54000092
2010-10-17,20.22999954,21.36000061,20.04999924,21.36000061
2010-10-27,21.0,24.89999962,21.0,24.44000053
2010-11-06,24.97999954,30.79999924,24.62999916,30.79999924
2010-11-16,29.67000008,35.47000122,29.48999977,35.47000122
2010-11-26,35.31999969,35.33000183,31.48999977,31.48999977
2010-12-06,30.30999947,32.36999893,28.53000069,29.60000038
2010-12-16,30.80999947,32.63000107,30.09000015,30.09000015
2010-12-26,25.54999924,27.72999954,25.54999924,26.67000008
2011-01-05,26.82999992,28.45000076,25.75,25.75
2011-01-15,25.63999939,25.63999939,22.62000084,24.48999977
2011-01-25,24.68000031,24.92000008,23.62999916,23.62999916
2011-02-04,23.45999908,24.48999977,23.06999969,23.25
2011-02-14,23.07999992,24.72999954,21.82999992,21.82999992
2011-02-24,22.53000069,24.95000076,22.53000069,24.95000076
2011-03-06,24.94000053,24.94000053,22.95000076,22.95000076
2011-03-16,22.81999969,22.95999908,22.19000053,22.75
2011-03-26,23.25,27.75,23.25,25.82999992
2011-04-05,26.70000076,27.23999977,24.64999962,25.13999939
2011-04-15,25.57999992,26.73999977,25.03000069,26.73999977
2011-04-25,26.38999939,27.65999985,26.38999939,26.69000053
2011-05-05,26.44000053,28.32999992,26.44000053,27.54999924
2011-05-15,26.60000038,28.20000076,25.95999908,26.71999931
2011-05-25,28.97999954,30.13999939,28.52000046,30.12999916
2011-06-04,28.70000076,28.70000076,27.12000084,28.43000031
2011-06-14,28.60000038,28.60000038,26.01000023,27.70999908
2011-06-24,27.56999969,29.12999916,27.45999908,29.02000046
2011-07-04,29.13999939,29.72999954,28.17000008,28.63999939
2011-07-14,27.61000061,29.29000092,27.22999954,29.29000092
2011-07-24,28.48999977,28.77000046,27.34000015,27.34000015
2011-08-03,27.20000076,27.20000076,23.63999939,26.30999947
2011-08-13,26.22999954,26.22999954,21.95000076,21.95000076
2011-08-23,22.95999908,24.73999977,22.95999908,24.0
2011-09-02,23.06999969,23.84000015,22.94000053,22.96999931
2011-09-12,22.87999916,26.01000023,22.87999916,25.85000038
2011-09-22,25.62999916,26.37999916,24.12000084,24.38999939
2011-10-02,23.72999954,27.87999916,23.65999985,27.61000061
2011-10-12,27.79999924,28.34000015,27.34000015,28.03000069
2011-10-22,28.54999924,29.87000084,27.97999954,29.37000084
2011-11-01,28.87999916,32.45999908,28.70999908,31.32999992
2011-11-11,33.63999939,34.93999863,32.59999847,32.59999847
2011-11-21,31.76000023,32.74000168,31.45000076,32.74000168
2011-12-01,32.59999847,34.86999893,30.88999939,31.04000092
2011-12-11,30.40999985,30.40999985,27.75,27.89999962
2011-12-21,27.56999969,28.72999954,27.56999969,28.55999947
2011-12-31,28.07999992,28.07999992,26.90999985,27.25
2012-01-10,27.62000084,28.25,22.79000092,26.76000023
2012-01-20,26.60000038,29.32999992,26.60000038,29.32999992
2012-01-30,29.56999969,31.93000031,29.06999969,31.93000031
2012-02-09,32.58000183,34.97000122,31.10000038,34.97000122
2012-02-19,34.5,34.52999878,33.61999893,33.81000137
2012-02-29,33.40999985,34.74000168,33.06999969,34.74000168
2012-03-10,36.00999832,36.09000015,34.97999954,34.97999954
2012-03-20,34.95999908,37.93999863,34.08000183,37.33000183
2012-03-30,37.24000168,38.00999832,34.47999954,34.47999954
2012-04-09,33.15000153,33.59000015,32.24000168,32.65999985
2012-04-19,33.15999985,33.49000168,31.81999969,33.34000015
2012-04-29,33.13000107,33.93999863,30.19000053,30.19000053
2012-05-09,30.05999947,32.95999908,27.55999947,27.55999947
2012-05-19,28.77000046,31.02000046,28.77000046,29.80999947
2012-05-29,31.69000053,31.69000053,27.87999916,28.93000031
2012-06-08,30.07999992,30.07999992,29.12000084,29.90999985
2012-06-18,31.84000015,33.79000092,31.61000061,31.95999908
2012-06-28,31.40999985,31.40999985,30.39999962,30.98999977
2012-07-08,31.48999977,35.95999908,31.27000046,33.34999847
2012-07-18,32.15000153,32.27000046,28.12999916,29.51000023
2012-07-28,27.35000038,28.27000046,26.10000038,28.27000046
2012-08-07,30.25,31.17000008,29.09000015,30.29999924
2012-08-17,30.01000023,30.72999954,29.11000061,29.5
2012-08-27,28.31999969,28.69000053,27.94000053,27.94000053
2012-09-06,28.54999924,30.38999939,27.37000084,30.38999939
2012-09-16,32.54000092,32.54000092,27.65999985,27.65999985
2012-09-26,27.54000092,29.79999924,27.54000092,28.88999939
2012-10-06,29.25,29.25,27.32999992,27.32999992
2012-10-16,28.05999947,28.81999969,27.42000008,27.52000046
2012-10-26,27.37999916,29.25,27.37999916,28.92000008
2012-11-05,31.5,31.61000061,30.31999969,31.37999916
2012-11-15,30.81999969,33.0,30.81999969,32.13000107
2012-11-25,32.27000046,34.61999893,32.15000153,33.90000153
2012-12-05,33.70999908,35.27999878,33.61000061,33.81000137
2012-12-15,34.40000153,34.61000061,34.0,34.27999878
2012-12-25,33.59000015,35.36000061,33.22000122,34.77000046
2013-01-04,34.40000153,34.40000153,32.90999985,32.90999985
2013-01-14,33.25999832,36.0,33.25999832,36.0
2013-01-24,36.99000168,38.29999924,36.97999954,38.29999924
2013-02-03,37.74000168,39.47999954,37.74000168,37.88999939
2013-02-13,38.45000076,39.27999878,35.15999985,36.11000061
2013-02-23,34.38000107,35.58000183,34.38000107,35.58000183
2013-03-05,36.65000153,39.11999893,36.65000153,36.84999847
2013-03-15,35.29000092,36.61999893,35.08000183,36.61999893
2013-03-25,37.52999878,44.34000015,37.52999878,41.09999847
2013-04-04,42.00999832,43.75,40.5,43.75
2013-04-14,43.29999924,51.00999832,43.29999924,51.00999832
2013-04-24,50.43000031,54.93999863,50.43000031,54.54999924
2013-05-04,59.5,87.80000305,55.50999832,87.80000305
2013-05-14,83.23999786,92.73000336,83.23999786,92.73000336
2013-05-24,97.08000183,110.33000179999999,97.08000183,97.76000214
2013-06-03,92.58999634,102.04000090000001,92.58999634,97.73000336
2013-06-13,98.18000031,104.6800003,98.18000031,99.55000305
2013-06-23,101.4899979,117.8199997,101.4899979,117.8199997
2013-07-03,115.2399979,129.8999939,115.2399979,129.8999939
2013-07-13,127.2600021,127.2600021,109.0500031,122.4300003
2013-07-23,122.7399979,135.5500031,121.6999969,135.5500031
2013-08-02,138.0,153.4799957,134.2299957,153.0
2013-08-12,147.38000490000002,149.58000180000002,139.3600006,147.8600006
2013-08-22,157.1000061,169.0,157.1000061,169.0
2013-09-01,168.9400024,170.61999509999998,160.6999969,166.36999509999998
2013-09-11,163.5200043,183.3899994,163.5200043,183.3899994
2013-09-21,181.1100006,193.36999509999998,181.1100006,193.36999509999998
2013-10-01,193.0,193.0,168.77999880000002,172.92999269999999
2013-10-11,178.6999969,183.9400024,178.6999969,183.3999939
2013-10-21,172.6000061,173.1499939,159.22000119999998,159.22000119999998
2013-10-31,159.9400024,176.8099976,137.9499969,137.9499969
2013-11-10,144.6999969,144.6999969,121.58000179999999,126.0899963
2013-11-20,121.1100006,127.27999879999999,120.5,127.27999879999999
2013-11-30,124.16999820000001,144.6999969,124.16999820000001,141.6000061
2013-12-10,142.1900024,152.46000669999998,139.6499939,140.72000119999998
2013-12-20,143.2400055,155.5,143.2400055,151.11999509999998
